Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
710,0.00010018,0.00011388,6.495e-05,0.00011991
712,9.342e-05,0.00011138,6.337e-05,0.00011502
714,9.423e-05,0.0001091,6.108e-05,0.00011231
716,9.132e-05,0.00010764,5.666e-05,0.00011017
718,8.249e-05,9.951e-05,5.332e-05,0.00010399
720,7.971e-05,9.627e-05,5.073e-05,9.702e-05
722,7.131e-05,9.048e-05,4.88e-05,9.689e-05
724,6.888e-05,8.584e-05,4.675e-05,9.239e-05
726,6.667e-05,8.765e-05,4.58e-05,8.911e-05
728,6.263e-05,8.451e-05,4.612e-05,8.542e-05
730,6.016e-05,8.193e-05,4.657e-05,8.336e-05
732,5.891e-05,8.201e-05,4.502e-05,8.695e-05
734,5.457e-05,8.188e-05,4.442e-05,8.268e-05
736,4.993e-05,7.287e-05,3.965e-05,7.169e-05
738,4.385e-05,6.759e-05,3.418e-05,6.407e-05
740,3.534e-05,6.234e-05,3.053e-05,5.595e-05
742,2.791e-05,5.897e-05,2.804e-05,5.115e-05
744,2.546e-05,5.763e-05,2.565e-05,4.579e-05
746,2.318e-05,5.492e-05,2.336e-05,3.672e-05
748,1.6815e-05,5.398e-05,2.041e-05,3.575e-05
750,1.687e-05,5.225e-05,1.9681e-05,3.793e-05
752,2.0969e-05,5.045e-05,2.184e-05,3.185e-05
754,1.6619e-05,5.478e-05,2.087e-05,3.12e-05
756,1.878e-05,5.226e-05,2.195e-05,3.328e-05
758,2.123e-05,5.188e-05,2.107e-05,2.829e-05
760,2.0106e-05,5.197e-05,2.068e-05,3.135e-05
762,1.8002e-05,4.981e-05,2.304e-05,3.112e-05
764,1.9505e-05,5.06e-05,2.313e-05,4.1e-05
766,3.052e-05,5.572e-05,2.268e-05,4.453e-05
768,2.528e-05,4.98e-05,2.38e-05,3.818e-05
770,2.724e-05,5.123e-05,2.509e-05,4.79e-05
772,3.207e-05,4.892e-05,2.375e-05,4.969e-05
774,3.467e-05,4.47e-05,2.339e-05,4.999e-05
776,3.543e-05,5.033e-05,2.437e-05,6.506e-05
778,4.083e-05,4.507e-05,2.417e-05,6.961e-05
780,4.461e-05,4.671e-05,2.356e-05,6.82e-05
