Wavelength [nm],Background nominal [29 yrs],Modulation nominal [x0.25 29 yrs],Modulation nominal [x0.50 29 yrs],Modulation nominal [x1.00 29 yrs],Modulation nominal [x2.00 29 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
730,8.2501e-05,8.3008e-05,8.3516e-05,8.453e-05,8.656e-05,7.479e-05,7.6226e-05,7.6916e-05,7.4676e-05,7.9762e-05
732,8.0776e-05,8.1257e-05,8.1739e-05,8.2702e-05,8.4629e-05,7.2264e-05,7.525e-05,7.7986e-05,7.5302e-05,7.9416e-05
734,8.0926e-05,8.1426e-05,8.1925e-05,8.2923e-05,8.4919e-05,7.3144e-05,7.3676e-05,7.4794e-05,7.363e-05,7.8206e-05
736,7.1351e-05,7.1842e-05,7.2333e-05,7.3314e-05,7.5277e-05,6.7994e-05,7.2808e-05,7.318e-05,7.356e-05,7.3954e-05
738,6.0516e-05,6.0951e-05,6.1385e-05,6.2254e-05,6.3992e-05,6.6222e-05,7.1692e-05,7.2666e-05,6.9612e-05,7.4414e-05
740,5.4394e-05,5.4785e-05,5.5176e-05,5.5958e-05,5.7522e-05,6.5316e-05,6.8896e-05,7.012e-05,7.0128e-05,6.9938e-05
742,5.5845e-05,5.6271e-05,5.6697e-05,5.7548e-05,5.9251e-05,6.433e-05,6.775e-05,6.9794e-05,6.8804e-05,6.9694e-05
744,6.1069e-05,6.1568e-05,6.2068e-05,6.3068e-05,6.5067e-05,6.5762e-05,6.656e-05,6.7884e-05,6.8752e-05,6.9094e-05
746,5.0253e-05,5.0686e-05,5.1119e-05,5.1985e-05,5.3718e-05,6.1068e-05,6.525e-05,6.8722e-05,6.6712e-05,6.8428e-05
748,5.0577e-05,5.0984e-05,5.1391e-05,5.2204e-05,5.3831e-05,6.372e-05,6.4664e-05,6.7332e-05,6.7178e-05,6.7348e-05
750,5.2154e-05,5.253e-05,5.2906e-05,5.3659e-05,5.5164e-05,6.2942e-05,6.2536e-05,6.4026e-05,6.999e-05,6.9464e-05
752,5.3542e-05,5.3976e-05,5.4409e-05,5.5277e-05,5.7012e-05,5.9768e-05,6.2948e-05,6.194e-05,7.3228e-05,6.8216e-05
754,5.1155e-05,5.1505e-05,5.1855e-05,5.2554e-05,5.3953e-05,6.572e-05,6.8118e-05,6.4874e-05,7.0062e-05,7.185e-05
756,6.0708e-05,6.1132e-05,6.1557e-05,6.2405e-05,6.4102e-05,6.4502e-05,6.2298e-05,6.5548e-05,7.1526e-05,7.1138e-05
758,7.5156e-05,7.5653e-05,7.6151e-05,7.7145e-05,7.9135e-05,6.3586e-05,6.3816e-05,6.5626e-05,7.269e-05,6.9458e-05
760,6.6901e-05,6.7289e-05,6.7678e-05,6.8454e-05,7.0008e-05,6.3254e-05,6.8254e-05,6.8152e-05,7.5444e-05,7.3982e-05
762,7.5395e-05,7.5896e-05,7.6397e-05,7.7399e-05,7.9404e-05,7.2974e-05,6.9444e-05,6.7062e-05,8.2334e-05,7.3594e-05
764,8.0791e-05,8.1256e-05,8.172e-05,8.2649e-05,8.4506e-05,7.2366e-05,7.125e-05,7.5788e-05,8.6854e-05,7.7588e-05
766,8.0258e-05,8.0666e-05,8.1074e-05,8.1891e-05,8.3524e-05,7.3762e-05,7.314e-05,7.643e-05,8.505e-05,7.839e-05
768,8.2493e-05,8.2811e-05,8.313e-05,8.3768e-05,8.5043e-05,7.478e-05,7.384e-05,7.586e-05,8.3006e-05,8.2184e-05
770,9.7057e-05,9.7408e-05,9.7759e-05,9.846e-05,9.9863e-05,8.564e-05,7.6562e-05,8.1234e-05,9.3002e-05,8.7014e-05
772,9.4908e-05,9.5162e-05,9.5416e-05,9.5925e-05,9.6943e-05,7.5888e-05,7.682e-05,8.5456e-05,9.2804e-05,8.7872e-05
774,8.9025e-05,8.9346e-05,8.9667e-05,9.031e-05,9.1596e-05,8.2556e-05,7.9582e-05,8.5858e-05,0.00010143,9.2232e-05
776,9.7212e-05,9.7666e-05,9.812e-05,9.9029e-05,0.00010085,8.5538e-05,8.583e-05,9.3556e-05,0.00010117,9.8924e-05
778,0.00010404,0.00010435,0.00010466,0.00010529,0.00010653,8.8416e-05,9.1144e-05,0.00010236,0.00010722,9.6998e-05
780,0.00011245,0.00011278,0.00011311,0.00011377,0.0001151,9.789e-05,9.278e-05,0.00010622,0.00011201,0.00010174
