Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
508,0.00050461,0.00097935,0.0014541,0.0024036,0.0043026,0.0081005,0.000458,0.0008574,0.0012669,0.0021022,0.0038582,0.0071308
510,0.00052171,0.00093033,0.001339,0.0021562,0.0037907,0.0070597,0.0004612,0.00080132,0.001152,0.001863,0.003383,0.0061694
512,0.00052467,0.00085442,0.0011842,0.0018437,0.0031627,0.0058007,0.00044958,0.00071946,0.00099678,0.0015583,0.0027744,0.0049402
514,0.00049644,0.0007458,0.00099515,0.0014939,0.0024913,0.0044862,0.00041268,0.00060516,0.00080298,0.0012063,0.0020796,0.0035786
516,0.00042582,0.00058569,0.00074555,0.0010653,0.0017048,0.0029837,0.00036004,0.0004743,0.0005953,0.0008424,0.0013739,0.0022462
518,0.00035005,0.00042232,0.00049459,0.00063912,0.00092819,0.0015063,0.00031344,0.00036224,0.0004154,0.00052618,0.00076506,0.0011325
520,0.00032069,0.00034431,0.00036793,0.00041518,0.00050967,0.00069866,0.00030182,0.00031536,0.0003327,0.0003672,0.0004464,0.0005592
522,0.00033087,0.00033655,0.00034222,0.00035356,0.00037625,0.00042163,0.0003131,0.00031418,0.00031784,0.00032484,0.00034528,0.00036608
524,0.00035031,0.00034947,0.00034864,0.00034697,0.00034364,0.00033697,0.00033096,0.00032788,0.0003263,0.00032404,0.00032234,0.0003084
526,0.00036858,0.00036503,0.00036147,0.00035436,0.00034014,0.0003117,0.0003462,0.0003409,0.0003381,0.00033092,0.0003202,0.00029042
528,0.00038363,0.00037851,0.0003734,0.00036317,0.0003427,0.00030177,0.00035836,0.00035158,0.00034794,0.00033838,0.00032296,0.00028306
530,0.00039714,0.00039093,0.00038472,0.0003723,0.00034746,0.00029777,0.0003686,0.00036146,0.00035692,0.00034494,0.00032578,0.00027828
532,0.00040585,0.00039881,0.00039178,0.00037771,0.00034956,0.00029327,0.00037844,0.00037012,0.00036488,0.00035132,0.0003292,0.0002756
534,0.00041203,0.00040435,0.00039667,0.00038131,0.0003506,0.00028917,0.00038714,0.00037904,0.0003728,0.00035774,0.00033342,0.00027498
536,0.00041883,0.00041056,0.00040228,0.00038572,0.0003526,0.00028637,0.000396,0.0003872,0.00038022,0.00036422,0.0003374,0.0002746
538,0.00042582,0.0004171,0.00040837,0.00039093,0.00035604,0.00028627,0.00040442,0.00039534,0.00038804,0.0003708,0.0003416,0.00027538
540,0.00043352,0.00042435,0.00041518,0.00039684,0.00036015,0.00028677,0.00041416,0.00040458,0.00039652,0.0003789,0.00034764,0.00027674
542,0.00044148,0.00043181,0.00042213,0.00040278,0.00036407,0.00028666,0.00042582,0.00041622,0.00040708,0.00038788,0.00035468,0.00027854
544,0.0004515,0.00044131,0.00043112,0.00041074,0.00036998,0.00028846,0.00043586,0.00042596,0.00041626,0.00039592,0.00036048,0.00028088
546,0.00045995,0.0004492,0.00043846,0.00041697,0.00037399,0.00028802,0.00044654,0.0004355,0.0004253,0.00040426,0.0003667,0.00028308
548,0.00047231,0.00046091,0.00044951,0.00042671,0.00038111,0.0002899,0.00045672,0.00044554,0.00043436,0.00041284,0.00037336,0.00028512
550,0.00048619,0.00047412,0.00046204,0.0004379,0.00038961,0.00029303,0.00046676,0.0004554,0.00044332,0.000421,0.00037874,0.00028712
552,0.00049623,0.0004835,0.00047078,0.00044533,0.00039443,0.00029264,0.00047868,0.00046652,0.00045446,0.00043066,0.00038514,0.0002907
554,0.00050729,0.00049404,0.0004808,0.00045431,0.00040134,0.00029539,0.00049062,0.00047722,0.00046516,0.00044066,0.00039268,0.00029362
556,0.00052134,0.00050748,0.00049361,0.00046587,0.00041039,0.00029943,0.00050212,0.00048806,0.00047496,0.00044958,0.00039926,0.00029606
558,0.00053465,0.00052013,0.0005056,0.00047655,0.00041845,0.00030224,0.00051586,0.0005002,0.0004875,0.00046032,0.00040754,0.00029976
560,0.00054783,0.0005328,0.00051777,0.00048771,0.0004276,0.00030738,0.0005296,0.00051444,0.00050028,0.00047252,0.00041712,0.00030426
562,0.00056452,0.00054881,0.00053309,0.00050166,0.0004388,0.00031309,0.00054494,0.00052918,0.0005151,0.00048494,0.0004268,0.0003088
564,0.00058624,0.00056939,0.00055253,0.00051882,0.0004514,0.00031655,0.00056776,0.0005504,0.00053516,0.00050362,0.0004412,0.00031442
566,0.00062413,0.00060535,0.00058656,0.000549,0.00047386,0.00032358,0.00060846,0.00058566,0.00056708,0.00053078,0.00046232,0.00032176
568,0.00072374,0.00069932,0.0006749,0.00062606,0.00052838,0.00033302,0.00072382,0.0006813,0.0006498,0.00059732,0.0005107,0.0003316
570,0.0010509,0.0010067,0.00096253,0.0008742,0.00069754,0.00034422,0.0010919,0.00099294,0.0009196,0.0008129,0.00065902,0.00034616
572,0.0019106,0.0018141,0.0017175,0.0015244,0.0011382,0.00036578,0.0019881,0.0017865,0.0016255,0.0013863,0.0010432,0.0003682
574,0.0035681,0.00337,0.0031719,0.0027757,0.0019834,0.00039863,0.0036386,0.0033082,0.0030222,0.0025562,0.0018303,0.00040948
576,0.0058206,0.0054858,0.005151,0.0044814,0.0031422,0.0004638,0.0058308,0.0053794,0.0049652,0.0042362,0.0029888,0.00049666
578,0.0081152,0.007645,0.0071747,0.0062343,0.0043533,0.00059141,0.0079594,0.0074046,0.0068858,0.005927,0.0041858,0.0006498
580,0.010563,0.009954,0.0093448,0.0081265,0.0056898,0.00081631,0.010043,0.0093884,0.0087728,0.0076048,0.0053988,0.00089522
582,0.013004,0.012265,0.011526,0.010049,0.0070937,0.0011834,0.011986,0.011249,0.010548,0.0092036,0.0065966,0.001266
584,0.015275,0.014431,0.013587,0.0119,0.0085246,0.001774,0.013677,0.012892,0.012126,0.010655,0.007743,0.001812
586,0.017314,0.016399,0.015483,0.013652,0.0099903,0.0026667,0.015091,0.014293,0.013489,0.011947,0.0088432,0.0026486
588,0.018198,0.017276,0.016354,0.01451,0.010821,0.003444,0.015814,0.015037,0.014237,0.012694,0.0095476,0.0034308
590,0.017689,0.016835,0.01598,0.014271,0.010853,0.004017,0.015762,0.015054,0.01432,0.012861,0.0098408,0.0040132
592,0.015917,0.015194,0.014472,0.013027,0.010136,0.004356,0.01465,0.014072,0.013465,0.012216,0.0095654,0.004292
594,0.013642,0.01307,0.012498,0.011353,0.0090648,0.0044877,0.012565,0.012139,0.011689,0.01074,0.0086732,0.0043012
596,0.010974,0.010563,0.010151,0.0093278,0.0076812,0.004388,0.0097416,0.0094626,0.0091692,0.008551,0.007179,0.0040752
598,0.0083812,0.0081121,0.0078431,0.007305,0.0062288,0.0040764,0.0072582,0.0070858,0.0069034,0.0065264,0.005683,0.0037038
600,0.0060051,0.0058512,0.0056973,0.0053894,0.0047738,0.0035424,0.0051614,0.0050628,0.0049586,0.0047484,0.0042808,0.003172
602,0.0039803,0.0039051,0.0038299,0.0036796,0.003379,0.0027777,0.0034382,0.0033898,0.0033366,0.0032352,0.003012,0.0025042
604,0.0023304,0.002311,0.0022915,0.0022527,0.0021749,0.0020195,0.0020764,0.0020715,0.0020627,0.0020435,0.0019933,0.001943
606,0.0011624,0.0012057,0.001249,0.0013356,0.0015088,0.0018553,0.0010991,0.0011611,0.0012123,0.0013055,0.0014717,0.0020255
608,0.00067153,0.00080106,0.00093059,0.0011897,0.0017078,0.002744,0.00068584,0.00084542,0.0009851,0.0012457,0.0017338,0.0031046
610,0.00052872,0.00076604,0.0010034,0.001478,0.0024273,0.0043259,0.00058418,0.00086168,0.0011158,0.0015951,0.002501,0.0047908
612,0.00050858,0.00086715,0.0012257,0.0019429,0.0033772,0.0062457,0.000597,0.0010044,0.0013859,0.0021128,0.0034826,0.006705
614,0.00054591,0.001033,0.00152,0.0024941,0.0044423,0.0083387,0.00065988,0.0011937,0.0016998,0.0026766,0.004514,0.008631
616,0.00062953,0.0012562,0.0018828,0.003136,0.0056425,0.010656,0.00076792,0.0014291,0.0020627,0.003296,0.0056154,0.010605
618,0.00075659,0.0015112,0.0022657,0.0037749,0.0067931,0.01283,0.00091312,0.001681,0.0024284,0.0038864,0.0066308,0.012334
620,0.00091367,0.0017775,0.0026413,0.004369,0.0078243,0.014735,0.0010883,0.0019346,0.0027728,0.0044054,0.0074988,0.013746
622,0.0011025,0.0020497,0.0029969,0.0048913,0.0086802,0.016258,0.0012922,0.0021904,0.0030904,0.004842,0.0082,0.014854
624,0.0013191,0.0023027,0.0032862,0.0052533,0.0091875,0.017056,0.0015153,0.0024226,0.0033422,0.0051314,0.0086246,0.015557
626,0.0016015,0.0025622,0.003523,0.0054445,0.0092875,0.016974,0.0017804,0.0026522,0.003546,0.0052828,0.0087554,0.015804
628,0.0019146,0.00282,0.0037254,0.0055362,0.0091578,0.016401,0.0020648,0.0028844,0.003728,0.0053684,0.0086942,0.015604
630,0.0022403,0.0030882,0.0039362,0.0056321,0.009024,0.015808,0.0023474,0.0031156,0.0039046,0.005437,0.0085694,0.015136
632,0.0025702,0.0033551,0.0041399,0.0057097,0.0088491,0.015128,0.002633,0.0033494,0.0040792,0.005497,0.0084116,0.014504
634,0.0028883,0.0036081,0.0043279,0.0057675,0.0086468,0.014405,0.0029222,0.0035838,0.0042538,0.0055572,0.0082444,0.013813
636,0.0032159,0.0038666,0.0045174,0.0058188,0.0084218,0.013628,0.003224,0.003827,0.004433,0.0056142,0.0080498,0.01304
638,0.0035105,0.0040988,0.0046871,0.0058638,0.0082171,0.012924,0.0034954,0.004045,0.0045898,0.0056618,0.0078774,0.012363
640,0.0037893,0.0043246,0.0048599,0.0059305,0.0080718,0.012354,0.0037554,0.0042554,0.0047446,0.0057218,0.0077368,0.011785
642,0.0040595,0.0045478,0.0050361,0.0060126,0.0079658,0.011872,0.0039962,0.004449,0.0048898,0.00578,0.0076078,0.011259
644,0.0043019,0.0047431,0.0051842,0.0060665,0.0078311,0.01136,0.0042334,0.0046408,0.00504,0.0058514,0.0075094,0.010805
