Wavelength [nm],Background nominal [44 yrs],Modulation nominal [x0.25 44 yrs],Modulation nominal [x0.50 44 yrs],Modulation nominal [x1.00 44 yrs],Modulation nominal [x2.00 44 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
710,0.00017966,0.00018051,0.00018136,0.00018305,0.00018644,0.00016979,0.00016686,0.00016646,0.00017246,0.00016946
712,0.0001709,0.00017168,0.00017247,0.00017405,0.00017719,0.00016133,0.00015528,0.00015628,0.00016034,0.00016031
714,0.00015439,0.0001551,0.00015581,0.00015722,0.00016005,0.00014658,0.00014277,0.00014466,0.0001487,0.0001481
716,0.00014682,0.00014753,0.00014823,0.00014965,0.00015249,0.00013332,0.00012918,0.00013153,0.00013585,0.00013436
718,0.00013135,0.00013202,0.00013269,0.00013404,0.00013672,0.00011581,0.00011401,0.0001211,0.00011944,0.00012136
720,0.00011655,0.00011719,0.00011784,0.00011912,0.00012169,0.00010239,0.00010014,0.00010754,0.0001064,0.00010862
722,0.00010341,0.00010402,0.00010463,0.00010584,0.00010826,9.1864e-05,8.7624e-05,9.918e-05,9.5272e-05,9.6356e-05
724,9.9056e-05,9.9657e-05,0.00010026,0.00010146,0.00010386,8.2292e-05,8.0372e-05,9.2272e-05,9.0612e-05,8.9316e-05
726,8.9167e-05,8.9672e-05,9.0177e-05,9.1187e-05,9.3207e-05,7.758e-05,7.6032e-05,8.6312e-05,8.8792e-05,8.3624e-05
728,8.3837e-05,8.4322e-05,8.4807e-05,8.5777e-05,8.7717e-05,7.2376e-05,7.1744e-05,8.646e-05,8.0284e-05,7.8228e-05
730,8.2501e-05,8.3008e-05,8.3516e-05,8.453e-05,8.656e-05,7.05e-05,7.296e-05,8.7776e-05,7.7548e-05,7.6992e-05
732,8.0776e-05,8.1258e-05,8.174e-05,8.2704e-05,8.4633e-05,6.856e-05,7.3672e-05,8.6568e-05,7.886e-05,8.0572e-05
734,8.0926e-05,8.1427e-05,8.1928e-05,8.2929e-05,8.4932e-05,6.884e-05,7.2996e-05,8.9156e-05,8.232e-05,7.8708e-05
736,7.1351e-05,7.1844e-05,7.2337e-05,7.3323e-05,7.5295e-05,6.568e-05,6.9556e-05,8.4948e-05,7.5416e-05,7.4648e-05
738,6.0516e-05,6.0957e-05,6.1399e-05,6.2281e-05,6.4045e-05,6.3704e-05,6.9444e-05,8.2164e-05,7.4796e-05,7.3292e-05
740,5.4394e-05,5.479e-05,5.5186e-05,5.5978e-05,5.7562e-05,6.1996e-05,6.61e-05,8.2536e-05,7.2144e-05,7.3688e-05
742,5.5845e-05,5.6279e-05,5.6712e-05,5.7578e-05,5.931e-05,6.4744e-05,6.4528e-05,8.3888e-05,6.988e-05,7.4476e-05
744,6.1069e-05,6.1576e-05,6.2083e-05,6.3097e-05,6.5126e-05,6.0364e-05,6.5556e-05,8.0228e-05,6.2924e-05,7.21e-05
