Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
474,0.00010524,0.0001072,0.00010916,0.00011308,0.00012091,0.00013659,0.0001349,0.00013718,0.0001408,0.00014669,0.00015932,0.00018536
476,0.00011329,0.00011394,0.00011459,0.0001159,0.00011851,0.00012374,0.00014248,0.00014316,0.00014544,0.00014785,0.00015391,0.00016715
478,0.00012126,0.00012056,0.00011986,0.00011846,0.00011566,0.00011005,0.00015338,0.00015268,0.0001531,0.00015248,0.00015252,0.00015407
480,0.00013456,0.00013263,0.0001307,0.00012685,0.00011914,0.00010373,0.00017195,0.00016976,0.00016783,0.00016535,0.0001589,0.00014769
482,0.00014763,0.00014469,0.00014175,0.00013588,0.00012414,0.00010065,0.00019119,0.00018755,0.0001848,0.00017968,0.00016809,0.00014622
484,0.00015387,0.00015045,0.00014703,0.0001402,0.00012653,9.9193e-05,0.00019848,0.00019422,0.00019041,0.00018379,0.0001699,0.00014235
486,0.00015648,0.00015277,0.00014905,0.00014162,0.00012676,9.7029e-05,0.00019997,0.00019529,0.00019146,0.00018461,0.00016847,0.00013659
488,0.00016171,0.00015772,0.00015373,0.00014575,0.00012979,9.7863e-05,0.00020522,0.00019978,0.00019594,0.00018838,0.00017055,0.00013499
490,0.00017606,0.00017137,0.00016668,0.00015729,0.00013852,0.00010098,0.00021822,0.00021236,0.00020812,0.00019887,0.00017891,0.00013935
492,0.00022209,0.00021517,0.00020826,0.00019443,0.00016677,0.00011146,0.0002481,0.0002414,0.00023548,0.00022388,0.0001999,0.0001497
494,0.0003804,0.00036501,0.00034961,0.00031882,0.00025724,0.00013408,0.00034634,0.00033444,0.00032374,0.00030186,0.00025678,0.00016533
496,0.0006834,0.00065136,0.00061932,0.00055523,0.00042706,0.00017071,0.00058558,0.00056034,0.00053656,0.00048738,0.0003896,0.00019389
498,0.0010668,0.001014,0.00096109,0.00085535,0.00064388,0.00022093,0.00097036,0.00092334,0.00087684,0.0007837,0.00060076,0.00024062
500,0.0014131,0.0013416,0.00127,0.0011269,0.00084069,0.00026827,0.001396,0.0013251,0.001253,0.0011103,0.00083378,0.00029396
502,0.0016518,0.0015678,0.0014839,0.001316,0.0009802,0.00030862,0.0017252,0.0016349,0.0015428,0.0013606,0.0010119,0.00033836
504,0.0017952,0.0017042,0.0016132,0.0014313,0.0010674,0.00033959,0.0019105,0.0018093,0.001706,0.0015025,0.0011141,0.00037206
506,0.0018782,0.0017836,0.0016891,0.0015001,0.001122,0.00036575,0.0019925,0.0018866,0.0017778,0.0015672,0.0011631,0.00039928
508,0.0019049,0.0018101,0.0017153,0.0015257,0.0011465,0.00038798,0.0020062,0.0019001,0.0017912,0.0015802,0.0011767,0.00041846
510,0.0018441,0.0017539,0.0016637,0.0014832,0.0011224,0.00040072,0.0019246,0.001824,0.0017194,0.0015188,0.0011357,0.0004262
512,0.0015966,0.0015211,0.0014457,0.0012948,0.00099308,0.00038958,0.001663,0.0015773,0.0014878,0.0013175,0.0009944,0.00041298
514,0.001103,0.0010558,0.0010086,0.00091418,0.00072534,0.00034764,0.0012029,0.0011445,0.0010825,0.00096702,0.00074986,0.0003765
516,0.00056066,0.0005444,0.00052815,0.00049564,0.00043062,0.00030059,0.0006868,0.00066052,0.00063056,0.00057892,0.00048408,0.00033478
518,0.00022611,0.00022901,0.00023192,0.00023773,0.00024934,0.00027258,0.00030568,0.00030458,0.00030168,0.00029908,0.00029732,0.00030948
520,0.000128,0.00013672,0.00014545,0.0001629,0.0001978,0.00026759,0.00016652,0.00017569,0.00018264,0.0001998,0.00023384,0.00030338
522,0.00011118,0.00012107,0.00013096,0.00015075,0.00019031,0.00026945,0.00013802,0.00014959,0.00015904,0.00018102,0.00022282,0.00030622
524,0.00011025,0.00012062,0.000131,0.00015176,0.00019327,0.00027629,0.00013403,0.00014681,0.00015679,0.00018028,0.00022444,0.00031104
526,0.00011118,0.00012183,0.00013248,0.00015379,0.00019641,0.00028164,0.00013531,0.00014796,0.00015855,0.00018232,0.00022786,0.00031692
528,0.00011251,0.00012347,0.00013443,0.00015634,0.00020017,0.00028783,0.00013754,0.00014992,0.00016184,0.00018592,0.00023282,0.00032478
530,0.00011548,0.00012691,0.00013835,0.00016122,0.00020695,0.00029843,0.0001406,0.00015305,0.00016514,0.00019015,0.00023828,0.0003325
532,0.00011691,0.00012849,0.00014007,0.00016323,0.00020954,0.00030218,0.00014288,0.00015558,0.00016816,0.00019362,0.0002434,0.0003405
534,0.0001192,0.00013115,0.0001431,0.00016701,0.00021482,0.00031045,0.0001464,0.0001593,0.00017233,0.00019824,0.00024976,0.00035012
536,0.00012223,0.00013452,0.00014682,0.0001714,0.00022057,0.0003189,0.0001504,0.0001636,0.00017721,0.00020394,0.00025728,0.00036046
538,0.00012493,0.00013753,0.00015012,0.0001753,0.00022567,0.00032641,0.00015483,0.00016825,0.00018246,0.00020982,0.00026542,0.0003711
540,0.00012823,0.00014134,0.00015445,0.00018067,0.00023311,0.00033799,0.00016029,0.00017368,0.00018926,0.00021722,0.00027414,0.00038504
542,0.00013074,0.00014434,0.00015794,0.00018514,0.00023955,0.00034835,0.00016626,0.00018054,0.00019676,0.00022552,0.00028562,0.00040164
544,0.00013262,0.00014664,0.00016067,0.00018872,0.00024482,0.00035702,0.00017039,0.00018555,0.00020204,0.00023194,0.00029444,0.00041492
546,0.00013374,0.00014827,0.00016279,0.00019185,0.00024995,0.00036617,0.00017421,0.00019014,0.00020668,0.00023804,0.00030282,0.00042766
548,0.00013471,0.00014974,0.00016477,0.00019484,0.00025497,0.00037523,0.0001774,0.00019397,0.00021144,0.00024428,0.000311,0.00044068
550,0.00013433,0.00014982,0.0001653,0.00019627,0.0002582,0.00038206,0.00017952,0.00019652,0.00021458,0.00024868,0.00031808,0.00045332
552,0.00013459,0.00015101,0.00016742,0.00020026,0.00026593,0.00039728,0.00018094,0.00019875,0.00021758,0.00025354,0.0003261,0.00046826
554,0.00013414,0.00015187,0.00016959,0.00020504,0.00027593,0.00041772,0.0001816,0.00020059,0.00022024,0.00025822,0.0003351,0.00048514
556,0.00013427,0.00015548,0.00017669,0.0002191,0.00030393,0.00047359,0.00018097,0.00020306,0.00022502,0.0002673,0.000352,0.00051688
558,0.00013413,0.00016642,0.00019871,0.00026329,0.00039245,0.00065076,0.00018093,0.00021202,0.00024152,0.00029732,0.00040808,0.00062252
560,0.00013392,0.00019183,0.00024973,0.00036553,0.00059714,0.0010604,0.000181,0.000234,0.00028338,0.00037478,0.00055864,0.00091884
562,0.00013505,0.00023551,0.00033597,0.00053689,0.00093872,0.0017424,0.00018047,0.00027558,0.00036138,0.00052154,0.0008479,0.0015099
564,0.00013524,0.00030279,0.00047034,0.00080544,0.0014756,0.002816,0.00018077,0.00034702,0.00049282,0.00077184,0.0013371,0.0025432
566,0.00013664,0.00039331,0.00064998,0.0011633,0.00219,0.0042434,0.00018177,0.00043564,0.00065662,0.0010917,0.001963,0.003882
568,0.00014052,0.00050379,0.00086705,0.0015936,0.0030467,0.0059528,0.00018491,0.000544,0.0008596,0.0014898,0.0027362,0.005493
