Wavelength [nm],Background nominal [44 yrs],Modulation nominal [25% 44 yrs],Modulation nominal [50% 44 yrs],Modulation nominal [100% 44 yrs],Modulation nominal [200% 44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
546,0.00017985,0.00018918,0.00019851,0.00021717,0.0002545,0.00032914,0.00018423,0.00019266,0.00020128,0.00021922,0.0002558,0.0003222
548,0.00018298,0.00019301,0.00020304,0.00022311,0.00026324,0.0003435,0.00018693,0.00019605,0.0002054,0.0002247,0.00026408,0.00033648
550,0.00018714,0.00019797,0.00020881,0.00023048,0.00027381,0.00036049,0.000189,0.00019907,0.00020912,0.00022976,0.00027216,0.00035068
552,0.000189,0.00020063,0.00021226,0.00023552,0.00028205,0.00037509,0.00019188,0.00020238,0.0002136,0.00023594,0.00028178,0.00036648
554,0.00019219,0.00020496,0.00021773,0.00024327,0.00029436,0.00039654,0.00019424,0.00020612,0.00021822,0.00024288,0.00029222,0.00038614
556,0.00019526,0.00020926,0.00022325,0.00025125,0.00030724,0.00041923,0.00019619,0.00020902,0.0002221,0.00024886,0.00030276,0.00040466
558,0.0001973,0.00021279,0.00022827,0.00025925,0.0003212,0.00044511,0.00019841,0.00021264,0.00022682,0.00025642,0.00031498,0.00042742
560,0.00019989,0.00021738,0.00023486,0.00026983,0.00033977,0.00047965,0.00020086,0.00021706,0.00023296,0.00026596,0.00033114,0.00046034
562,0.00020341,0.00022524,0.00024708,0.00029074,0.00037808,0.00055274,0.00020328,0.0002243,0.0002441,0.000283,0.00036022,0.00052938
564,0.00020677,0.00024637,0.00028597,0.00036517,0.00052357,0.00084038,0.00020616,0.00024718,0.00028252,0.0003452,0.000468,0.00080724
566,0.00021141,0.00030139,0.00039137,0.00057133,0.00093124,0.0016511,0.00021016,0.0003025,0.00038154,0.00051722,0.0007826,0.0015707
568,0.00021825,0.00040298,0.00058771,0.00095717,0.0016961,0.0031739,0.00021502,0.00039762,0.00056192,0.00084984,0.00142,0.0029834
570,0.0002297,0.00054479,0.00085988,0.0014901,0.0027504,0.0052711,0.00022138,0.00053408,0.00082372,0.0013392,0.002378,0.0049482
572,0.00025511,0.00072231,0.0011895,0.0021239,0.0039927,0.0077303,0.00023104,0.00069746,0.0011359,0.0019235,0.0035258,0.0072062
574,0.00030114,0.00094224,0.0015833,0.0028655,0.0054299,0.010559,0.00024892,0.00087918,0.0014803,0.002566,0.0047956,0.0096678
576,0.00037768,0.0011995,0.0020213,0.003665,0.0069523,0.013527,0.00029218,0.0010859,0.0018518,0.0032398,0.006108,0.012159
578,0.00049139,0.0014726,0.0024538,0.0044162,0.0083411,0.016191,0.0003736,0.0013057,0.0022108,0.0038606,0.007277,0.014311
580,0.00065782,0.0017903,0.0029228,0.0051878,0.0097179,0.018778,0.00050486,0.0015535,0.0025744,0.004453,0.0083526,0.016236
582,0.00087342,0.0021312,0.0033889,0.0059044,0.010935,0.020998,0.00069,0.0018223,0.0029272,0.004984,0.009273,0.017822
