Wavelength [nm],Background nominal [28 yrs],Modulation nominal [25% 28 yrs],Modulation nominal [50% 28 yrs],Modulation nominal [100% 28 yrs],Modulation nominal [200% 28 yrs],Modulation nominal [400% 28 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
654,0.006846,0.0068623,0.0068786,0.0069113,0.0069765,0.0071071,0.0067068,0.0067264,0.0067426,0.0067728,0.0068388,0.0069884
656,0.0066022,0.0066163,0.0066304,0.0066586,0.0067149,0.0068276,0.0065932,0.0065806,0.0065792,0.0065896,0.0066302,0.006754
658,0.0062496,0.0062621,0.0062746,0.0062996,0.0063496,0.0064495,0.006325,0.0062928,0.0062814,0.0062762,0.0062976,0.0064022
660,0.0057392,0.0057499,0.0057606,0.0057819,0.0058245,0.0059098,0.0058552,0.0058126,0.0057924,0.005775,0.0057778,0.005863
662,0.0051157,0.0051245,0.0051333,0.005151,0.0051863,0.005257,0.005194,0.0051524,0.0051304,0.0051078,0.005102,0.0051718
664,0.0043941,0.0044015,0.0044089,0.0044236,0.0044532,0.0045122,0.004362,0.0043292,0.004313,0.0042954,0.0042926,0.0043478
666,0.0035833,0.0035896,0.0035958,0.0036082,0.0036331,0.0036828,0.003475,0.0034554,0.0034464,0.0034376,0.0034436,0.003489
668,0.002808,0.0028129,0.0028179,0.0028277,0.0028474,0.0028868,0.0026682,0.0026584,0.002655,0.0026524,0.0026614,0.0026984
670,0.0020588,0.0020626,0.0020664,0.002074,0.0020891,0.0021195,0.0018991,0.0018945,0.0018946,0.0018971,0.0019066,0.0019348
672,0.0013256,0.0013286,0.0013315,0.0013374,0.0013491,0.0013726,0.0012034,0.001202,0.0012039,0.0012075,0.0012157,0.0012377
674,0.00066328,0.00066547,0.00066767,0.00067206,0.00068083,0.00069838,0.00061166,0.00061204,0.00061368,0.00061718,0.00062636,0.00064214
676,0.00033192,0.00033338,0.00033484,0.00033776,0.0003436,0.00035528,0.00031748,0.00031794,0.00032004,0.00032334,0.0003295,0.00034244
678,0.00020839,0.00020961,0.00021083,0.00021326,0.00021812,0.00022785,0.00020586,0.00020576,0.00020789,0.00021162,0.00021672,0.00022668
