Wavelength [nm],Background nominal [44 yrs],Modulation nominal [25% 44 yrs],Modulation nominal [50% 44 yrs],Modulation nominal [100% 44 yrs],Modulation nominal [200% 44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
560,0.00054769,0.00053268,0.00051767,0.00048765,0.0004276,0.00030751,0.00052386,0.00051022,0.0004976,0.00047054,0.0004183,0.0003097
562,0.00056429,0.00054861,0.00053292,0.00050155,0.0004388,0.00031332,0.00054138,0.00052626,0.0005133,0.00048416,0.00042922,0.00031462
564,0.00058576,0.00056896,0.00055217,0.00051858,0.0004514,0.00031704,0.00056338,0.00054696,0.00053256,0.0005021,0.00044382,0.00032026
566,0.00062333,0.00060464,0.00058596,0.00054859,0.00047386,0.00032439,0.0005999,0.00057952,0.00056256,0.0005276,0.00046406,0.0003284
568,0.00072263,0.00069835,0.00067407,0.00062551,0.00052838,0.00033412,0.0006927,0.00065652,0.00062914,0.00058204,0.00050396,0.00033786
570,0.0010493,0.0010053,0.00096133,0.0008734,0.00069754,0.00034582,0.00098928,0.00090474,0.00084304,0.00075146,0.00062138,0.00035068
572,0.0019079,0.0018117,0.0017155,0.0015231,0.0011382,0.00036847,0.0017664,0.0015862,0.0014443,0.0012349,0.00094544,0.00037028
574,0.0035612,0.003364,0.0031668,0.0027723,0.0019834,0.00040551,0.0033112,0.0029976,0.0027316,0.0023072,0.0016635,0.00040608
576,0.0057948,0.0054632,0.0051316,0.0044685,0.0031422,0.00048962,0.0054696,0.0050296,0.004628,0.0039418,0.002788,0.00048176
578,0.0080405,0.0075796,0.0071187,0.0061969,0.0043533,0.00066613,0.007599,0.007059,0.0065468,0.005629,0.0039824,0.00061718
580,0.010404,0.0098145,0.0092253,0.0080468,0.0056898,0.00097572,0.0096858,0.0090532,0.0084408,0.0073102,0.0052,0.00083976
582,0.012742,0.012036,0.01133,0.0099179,0.0070937,0.0014454,0.011648,0.010936,0.010239,0.0089268,0.0064042,0.0011811
584,0.014914,0.014116,0.013317,0.011719,0.0085246,0.0021348,0.013394,0.012626,0.011867,0.01042,0.0075694,0.0016914
586,0.016862,0.016003,0.015144,0.013426,0.0099903,0.0031183,0.014908,0.014111,0.01332,0.011793,0.0087184,0.0024936
588,0.017688,0.01683,0.015971,0.014255,0.010821,0.0039542,0.015757,0.014969,0.014181,0.012639,0.0094966,0.003284
590,0.017143,0.016357,0.01557,0.013998,0.010853,0.0045635,0.015884,0.015151,0.01442,0.012935,0.009888,0.0039132
592,0.015358,0.014705,0.014053,0.012747,0.010136,0.0049146,0.014976,0.014358,0.013752,0.012438,0.0097308,0.0042488
594,0.013105,0.0126,0.012095,0.011085,0.0090648,0.0050242,0.013024,0.012557,0.012114,0.011081,0.0089412,0.0043132
596,0.010526,0.01017,0.0098147,0.0091035,0.0076812,0.0048366,0.010215,0.0099086,0.0096256,0.008938,0.0074998,0.004141
598,0.0080603,0.0078313,0.0076024,0.0071445,0.0062288,0.0043973,0.0076786,0.0074894,0.0073158,0.0068956,0.006002,0.0038092
600,0.0058038,0.005675,0.0055463,0.0052888,0.0047738,0.0037438,0.0055078,0.0054028,0.0053058,0.0050732,0.004574,0.0033124
602,0.0038681,0.0038069,0.0037458,0.0036235,0.003379,0.0028898,0.0037116,0.0036616,0.0036154,0.0035022,0.0032628,0.0026548
604,0.0022837,0.0022701,0.0022565,0.0022293,0.0021749,0.0020661,0.0022816,0.0022722,0.002266,0.0022352,0.0021693,0.0020287
606,0.0011775,0.0012189,0.0012603,0.0013432,0.0015088,0.0018402,0.0012141,0.0012648,0.0013106,0.0013813,0.0015118,0.0019341
608,0.0007541,0.00087331,0.00099252,0.0012309,0.0017078,0.0026614,0.00072856,0.00086382,0.0009897,0.0012112,0.0016437,0.0028316
610,0.00068912,0.00090639,0.0011237,0.0015582,0.0024273,0.0041655,0.00058946,0.00083558,0.0010683,0.0014945,0.0023436,0.0044264
612,0.00075555,0.0010833,0.001411,0.0020664,0.0033772,0.0059988,0.00058716,0.00095818,0.0013157,0.0019793,0.0033124,0.0063256
614,0.00088504,0.0013297,0.0017743,0.0026637,0.0044423,0.0079995,0.00064138,0.001143,0.001627,0.0025356,0.0043604,0.0082834
616,0.0010693,0.0016409,0.0022126,0.0033559,0.0056425,0.010216,0.00074728,0.0013812,0.0019988,0.0031644,0.0054994,0.01033
618,0.0012887,0.0019768,0.0026648,0.0040409,0.0067931,0.012298,0.00089082,0.0016404,0.0023758,0.0037748,0.0065626,0.012147
620,0.0015246,0.0023121,0.0030995,0.0046744,0.0078243,0.014124,0.0010625,0.0019008,0.0027278,0.004315,0.007481,0.013645
622,0.0017734,0.0026367,0.0035001,0.0052268,0.0086802,0.015587,0.0012663,0.002164,0.003052,0.004778,0.0082404,0.014846
624,0.0020157,0.0029122,0.0038087,0.0056016,0.0091875,0.016359,0.0014893,0.0024046,0.0033158,0.005098,0.0087302,0.015645
626,0.0022805,0.0031564,0.0040322,0.005784,0.0092875,0.016295,0.0017512,0.0026378,0.0035226,0.0052684,0.0089078,0.015987
628,0.0025524,0.003378,0.0042037,0.0058551,0.0091578,0.015763,0.0020324,0.0028638,0.0036978,0.0053528,0.0088506,0.015845
630,0.0028354,0.0036089,0.0043825,0.0059297,0.009024,0.015213,0.0023092,0.0030872,0.0038634,0.005417,0.008707,0.015392
632,0.0031188,0.0038351,0.0045514,0.005984,0.0088491,0.014579,0.0025878,0.0033078,0.0040238,0.0054692,0.0085222,0.014742
634,0.0033892,0.0040464,0.0047036,0.006018,0.0086468,0.013904,0.0028688,0.0035296,0.0041858,0.0055208,0.0083258,0.014016
636,0.0036662,0.0042606,0.0048551,0.006044,0.0084218,0.013177,0.00317,0.0037668,0.0043602,0.0055726,0.0081062,0.013208
638,0.0039153,0.004453,0.0049907,0.0060662,0.0082171,0.012519,0.0034404,0.0039822,0.0045218,0.0056236,0.0079156,0.012512
640,0.0041556,0.0046451,0.0051347,0.0061137,0.0080718,0.011988,0.003704,0.0041976,0.0046888,0.005693,0.0077692,0.011926
642,0.0043919,0.0048387,0.0052854,0.0061789,0.0079658,0.01154,0.0039534,0.0044056,0.0048526,0.0057668,0.0076442,0.011403
644,0.0046009,0.0050047,0.0054084,0.006216,0.0078311,0.011061,0.0042016,0.004616,0.0050244,0.0058568,0.007557,0.010961
646,0.0047941,0.0051499,0.0055057,0.0062174,0.0076406,0.010487,0.0044846,0.0048558,0.0052206,0.0059684,0.0074904,0.010531
648,0.0049616,0.0052788,0.005596,0.0062304,0.0074992,0.010037,0.0047142,0.005051,0.0053806,0.0060586,0.007436,0.010185
650,0.0051088,0.0053914,0.005674,0.0062392,0.0073696,0.0096304,0.0048874,0.0051896,0.0054864,0.006094,0.0073346,0.0097992
652,0.0052217,0.0054735,0.0057252,0.0062287,0.0072358,0.0092498,0.0049962,0.0052622,0.0055242,0.0060616,0.0071628,0.0093406
654,0.0052957,0.0055183,0.0057409,0.0061861,0.0070764,0.0088571,0.0050696,0.005305,0.0055342,0.006004,0.0069702,0.0088788
656,0.0053587,0.0055504,0.0057421,0.0061255,0.0068923,0.0084259,0.0051516,0.0053532,0.0055526,0.0059586,0.0067934,0.0084452
658,0.0054408,0.00561,0.0057792,0.0061176,0.0067943,0.0081478,0.0052282,0.0054046,0.0055804,0.0059392,0.0066738,0.0081286
660,0.005521,0.0056709,0.0058208,0.0061207,0.0067203,0.0079197,0.0052956,0.0054524,0.005607,0.0059264,0.006573,0.007855
662,0.0055892,0.0057219,0.0058546,0.0061199,0.0066506,0.007712,0.005363,0.0054992,0.005637,0.0059196,0.0064868,0.0076154
664,0.0056658,0.0057826,0.0058993,0.0061327,0.0065996,0.0075333,0.005421,0.0055396,0.0056588,0.0059054,0.0063988,0.0073826
666,0.0057102,0.0058124,0.0059146,0.006119,0.0065278,0.0073454,0.0054556,0.0055594,0.0056612,0.0058756,0.006304,0.0071584
668,0.0057162,0.0058057,0.0058952,0.0060742,0.0064323,0.0071483,0.0054672,0.0055568,0.0056454,0.0058338,0.0062074,0.0069544
670,0.0057161,0.0057947,0.0058732,0.0060303,0.0063446,0.006973,0.0054528,0.0055294,0.0056072,0.0057718,0.006098,0.0067478
672,0.0056445,0.0057128,0.0057811,0.0059177,0.0061908,0.0067371,0.0054012,0.0054672,0.0055324,0.005676,0.0059606,0.0065232
674,0.0054206,0.0054782,0.0055358,0.0056511,0.0058817,0.0063428,0.0052284,0.0052862,0.005342,0.0054638,0.0057074,0.006183
676,0.0050424,0.0050909,0.0051395,0.0052365,0.0054306,0.0058189,0.0048904,0.0049398,0.0049866,0.005091,0.0053004,0.0057012
678,0.0045524,0.0045933,0.0046341,0.0047157,0.004879,0.0052055,0.0044062,0.0044478,0.0044858,0.0045768,0.0047552,0.005093
680,0.0040124,0.0040471,0.0040817,0.0041511,0.0042898,0.0045672,0.003848,0.0038838,0.0039154,0.0039918,0.0041438,0.0044266
682,0.0034437,0.0034728,0.0035019,0.0035601,0.0036765,0.0039093,0.0032668,0.0032956,0.0033212,0.0033858,0.0035148,0.0037512
684,0.0027516,0.0027758,0.0028,0.0028483,0.0029451,0.0031386,0.0025892,0.0026128,0.0026332,0.0026864,0.0027902,0.0029838
686,0.0020936,0.0021132,0.0021328,0.002172,0.0022503,0.002407,0.0019292,0.001947,0.001964,0.0020063,0.0020893,0.0022458
688,0.0014279,0.0014437,0.0014595,0.0014911,0.0015543,0.0016806,0.0013056,0.0013197,0.0013329,0.0013652,0.0014302,0.0015548
